EmployeeKey,ParentEmployeeKey,EmployeeNationalIDAlternateKey,ParentEmployeeNationalIDAlternateKey,SalesTerritoryKey,FirstName,LastName,MiddleName,NameStyle,Title,HireDate,BirthDate,LoginID,EmailAddress,Phone,MaritalStatus,EmergencyContactName,EmergencyContactPhone,SalariedFlag,Gender,PayFrequency,BaseRate,VacationHours,SickLeaveHours,CurrentFlag,SalesPersonFlag,DepartmentName,StartDate,EndDate,Status
1,18.0,14417807,,11,Guy,Gilbert,R,False,Production Technician - WC60,2006-01-28,1981-11-12,adventure-works\guy1,guy1@adventure-works.com,320-555-0195,M,Guy Gilbert,320-555-0195,False,M,1,12.45,21,30,True,False,Production,2006-01-28,,Current
2,7.0,253022876,,11,Kevin,Brown,F,False,Marketing Assistant,2006-08-26,1986-12-01,adventure-works\kevin0,kevin0@adventure-works.com,150-555-0189,S,Kevin Brown,150-555-0189,False,M,2,13.4615,42,41,True,False,Marketing,2006-08-26,,Current
3,14.0,509647174,,11,Roberto,Tamburello,,False,Engineering Manager,2007-06-11,1974-06-12,adventure-works\roberto0,roberto0@adventure-works.com,212-555-0187,M,Roberto Tamburello,212-555-0187,True,M,2,43.2692,2,21,True,False,Engineering,2007-06-11,,Current
4,3.0,112457891,,11,Rob,Walters,,False,Senior Tool Designer,2007-07-05,1974-07-23,adventure-works\rob0,rob0@adventure-works.com,612-555-0100,S,Rob Walters,612-555-0100,False,M,2,29.8462,48,80,True,False,Tool Design,2007-07-05,2009-12-28,
5,3.0,112457891,,11,Rob,Walters,,False,Senior Tool Designer,2007-07-05,1974-07-23,adventure-works\rob0,rob0@adventure-works.com,612-555-0100,S,Rob Walters,612-555-0100,False,M,2,29.8462,48,80,True,False,Tool Design,2009-12-28,,Current
6,267.0,480168528,,11,Thierry,D'Hers,B,False,Tool Designer,2007-07-11,1959-02-26,adventure-works\thierry0,thierry0@adventure-works.com,168-555-0183,M,Thierry D'Hers,168-555-0183,False,M,2,25.0,9,24,True,False,Tool Design,2007-07-11,,Current
7,112.0,24756624,,11,David,Bradley,M,False,Marketing Manager,2007-07-20,1974-10-17,adventure-works\david0,david0@adventure-works.com,913-555-0172,S,David Bradley,913-555-0172,True,M,2,37.5,40,40,True,False,Marketing,2007-07-20,2009-02-11,
8,112.0,24756624,,11,David,Bradley,M,False,Marketing Manager,2007-07-20,1974-10-17,adventure-works\david0,david0@adventure-works.com,913-555-0172,S,David Bradley,913-555-0172,True,M,2,37.5,40,40,True,False,Marketing,2009-02-12,,Current
9,23.0,309738752,,11,JoLynn,Dobney,M,False,Production Supervisor - WC60,2007-07-26,1955-08-16,adventure-works\jolynn0,jolynn0@adventure-works.com,903-555-0145,S,JoLynn Dobney,903-555-0145,False,F,2,25.0,82,61,True,False,Production,2007-07-26,,Current
10,189.0,690627818,,11,Ruth,Ellerbrock,Ann,False,Production Technician - WC10,2007-08-06,1956-01-03,adventure-works\ruth0,ruth0@adventure-works.com,145-555-0130,M,Ruth Ellerbrock,145-555-0130,False,F,1,13.45,83,61,True,False,Production,2007-08-06,,Current
11,3.0,695256908,,11,Gail,Erickson,A,False,Design Engineer,2007-08-06,1952-04-27,adventure-works\gail0,gail0@adventure-works.com,849-555-0139,M,Gail Erickson,849-555-0139,True,F,2,32.6923,5,22,True,False,Engineering,2007-08-06,,Current
12,189.0,912265825,,11,Barry,Johnson,K,False,Production Technician - WC10,2007-08-07,1955-10-25,adventure-works\barry0,barry0@adventure-works.com,206-555-0180,S,Barry Johnson,206-555-0180,False,M,1,13.45,88,64,True,False,Production,2007-08-07,,Current
13,3.0,998320692,,11,Jossef,Goldberg,H,False,Design Engineer,2007-08-24,1958-10-09,adventure-works\jossef0,jossef0@adventure-works.com,122-555-0189,M,Jossef Goldberg,122-555-0189,True,M,2,32.6923,6,23,True,False,Engineering,2007-08-24,,Current
14,112.0,245797967,,11,Terri,Duffy,Lee,False,Vice President of Engineering,2007-08-31,1971-03-01,adventure-works\terri0,terri0@adventure-works.com,819-555-0175,S,Terri Duffy,819-555-0175,True,F,2,63.4615,1,20,True,False,Engineering,2007-08-31,,Current
15,189.0,844973625,,11,Sidney,Higa,M,False,Production Technician - WC10,2007-09-02,1956-03-30,adventure-works\sidney0,sidney0@adventure-works.com,424-555-0189,M,Sidney Higa,424-555-0189,False,M,1,13.45,84,62,True,False,Production,2007-09-02,,Current
