sales_rep_id,title,fname,mname,lname,suffix,job_title,phone_num,phone_num_type,email,email_promo,addr_line1,addr_line2,city,state_prov,postal_code,country,territory,territory_grp,sales_quota,sales_ytd_amt,sales_lyear_amt
274,,Stephen,Y,Jiang,,North American Sales Manager,238-555-0197,Cell,stephen0@adventure-works.com,0,2427 Notre Dame Ave.,,Redmond,Washington,98052,United States,,,,559697.5639,0
275,,Michael,G,Blythe,,Sales Representative,257-555-0154,Cell,michael9@adventure-works.com,1,8154 Via Mexico,,Detroit,Michigan,48226,United States,Northeast,North America,300000,3763178.179,1750406.479
276,,Linda,C,Mitchell,,Sales Representative,883-555-0116,Work,linda3@adventure-works.com,0,2487 Riverside Drive,,Nevada,Utah,84407,United States,Southwest,North America,250000,4251368.55,1439156.029
277,,Jillian,,Carson,,Sales Representative,517-555-0117,Work,jillian0@adventure-works.com,1,80 Sunview Terrace,,Duluth,Minnesota,55802,United States,Central,North America,250000,3189418.366,1997186.204
278,,Garrett,R,Vargas,,Sales Representative,922-555-0165,Work,garrett1@adventure-works.com,0,10203 Acorn Avenue,,Calgary,Alberta,T2P 2G8,Canada,Canada,North America,250000,1453719.465,1620276.897
279,,Tsvi,Michael,Reiter,,Sales Representative,664-555-0112,Work,tsvi0@adventure-works.com,1,8291 Crossbow Way,,Memphis,Tennessee,38103,United States,Southeast,North America,300000,2315185.611,1849640.942
280,,Pamela,O,Ansman-Wolfe,,Sales Representative,340-555-0193,Cell,pamela0@adventure-works.com,1,636 Vine Hill Way,,Portland,Oregon,97205,United States,Northwest,North America,250000,1352577.133,1927059.178
281,,Shu,K,Ito,,Sales Representative,330-555-0120,Cell,shu0@adventure-works.com,2,5725 Glaze Drive,,San Francisco,California,94109,United States,Southwest,North America,250000,2458535.617,2073506
282,,José,Edvaldo,Saraiva,,Sales Representative,185-555-0169,Work,josé1@adventure-works.com,0,9100 Sheppard Avenue North,,Ottawa,Ontario,K4B 1T7,Canada,Canada,North America,250000,2604540.717,2038234.655
283,,David,R,Campbell,,Sales Representative,740-555-0182,Work,david8@adventure-works.com,0,2284 Azalea Avenue,,Bellevue,Washington,98004,United States,Northwest,North America,250000,1573012.938,1371635.316
284,Mr.,Tete,A,Mensa-Annan,,Sales Representative,615-555-0153,Work,tete0@adventure-works.com,1,3997 Via De Luna,,Cambridge,Massachusetts,02139,United States,Northwest,North America,300000,1576562.197,0
285,Mr.,Syed,E,Abbas,,Pacific Sales Manager,926-555-0182,Work,syed0@adventure-works.com,0,7484 Roundtree Drive,,Bothell,Washington,98011,United States,,,,172524.4512,0
286,,Lynn,N,Tsoflias,,Sales Representative,1 (11) 500 555-0190,Cell,lynn0@adventure-works.com,2,34 Waterloo Road,,Melbourne,Victoria,3000,Australia,Australia,Pacific,250000,1421810.924,2278548.978
287,,Amy,E,Alberts,,European Sales Manager,775-555-0164,Work,amy0@adventure-works.com,1,5009 Orange Street,,Renton,Washington,98055,United States,,,,519905.932,0
288,,Rachel,B,Valdez,,Sales Representative,1 (11) 500 555-0140,Cell,rachel0@adventure-works.com,0,Pascalstr 951,,Berlin,Hamburg,14111,Germany,Germany,Europe,250000,1827066.712,1307949.792
289,,Jae,B,Pak,,Sales Representative,1 (11) 500 555-0145,Work,jae0@adventure-works.com,0,Downshire Way,,Cambridge,England,BA5 3HX,United Kingdom,United Kingdom,Europe,250000,4116871.228,1635823.397
290,,Ranjit,R,Varkey Chudukatil,,Sales Representative,1 (11) 500 555-0117,Cell,ranjit0@adventure-works.com,0,"94, rue Descartes",,Bordeaux,Gironde,33000,France,France,Europe,250000,3121616.32,2396539.76
